"","Raw.genus","Raw.species"
"6597","Leptomyrmex","Leptomyrmex varians"
"6598","Odontomachus","Odontomachus desertorum"
"6599","Leptothorax","Leptothorax stramineus"
"6600","Formica","Formica corsica"
"6601","Myrmica","Myrmica tertiaria"
"6602","Labidus","Labidus truncatidens"
"6603","Strumigenys","Strumigenys denticulata"
"6604","Mayaponera","Mayaponera constricta"
"6605","Tetramorium","Tetramorium immigrans"
"6606","Pheidole","Pheidole luteagossamer"
"6607","Pheidole","Pheidole atsirakambiaty"
"6608","Leptomyrmex","Leptomyrmex lugubris"
"6609","Wasmannia","Wasmannia rochai"
"6610","Notoncus","Notoncus capitatus"
"6611","Messor","Messor beduinus"
"6612","Apterostigma","Apterostigma dentigerum"
"6613","Meranoplus","Meranoplus excavatus"
"6614","Goniomma","Goniomma baeticum"
"6615","Strongylognathus","Strongylognathus italicus"
"6616","Polyrhachis","Polyrhachis aculeata"
"6617","Myrmica","Myrmica rugosa"
"6618","Leptogenys","Leptogenys imperatrix"
"6619","Pheidole","Pheidole seeldrayersi"
"6620","Pheidole","Pheidole indistincta"
"6621","Pheidole","Pheidole belli"
"6622","Pheidole","Pheidole lucida"
"6623","Pheidole","Pheidole aper"
"6624","Tetramorium","Tetramorium galoasanum"
"6625","Tetramorium","Tetramorium quasirum"
"6626","Leptothorax","Leptothorax massiliensis"
"6627","Crematogaster","Crematogaster binghamii"
"6628","Froggattella","Froggattella kirbii"
"6629","Trachymyrmex","Trachymyrmex zeteki"
"6630","Gnamptogenys","Gnamptogenys striolata"
"6631","Melophorus","Melophorus turneri"
"6632","Leptothorax","Leptothorax tuberum"
"6633","Camponotus","Camponotus fieldeae"
"6634","Camponotus","Camponotus bruchi"
"6635","Camponotus","Camponotus tenuiscapus"
"6636","Camponotus","Camponotus modoc"
"6637","Camponotus","Camponotus rusticus"
"6638","Dolichoderus","Dolichoderus tricornis"
"6639","Cephalotes","Cephalotes manni"
"6640","Cephalotes","Cephalotes incertus"
"6641","Leptanilla","Leptanilla taiwanensis"
"6642","Pachycondyla","Pachycondyla silvestrii"
"6643","Technomyrmex","Technomyrmex curiosus"
"6644","Colobopsis","Colobopsis sommeri"
"6645","Strumigenys","Strumigenys ampyx"
"6646","Crematogaster","Crematogaster nitidiceps"
"6647","Eurhopalothrix","Eurhopalothrix oscillum"
"6648","Temnothorax","Temnothorax ariadnae"
"6649","Leptogenys","Leptogenys comajojo"
"6650","Leptomyrmex","Leptomyrmex mjobergi"
"6651","Monomorium","Monomorium angustinode"
"6652","Monomorium","Monomorium laeve"
"6653","Calyptomyrmex","Calyptomyrmex vedda"
"6654","Myrmica","Myrmica wesmaeli"
"6655","Eurhopalothrix","Eurhopalothrix procera"
"6656","Plagiolepis","Plagiolepis clarki"
"6657","Tetramorium","Tetramorium flagellatum"
"6658","Tetramorium","Tetramorium anodontion"
"6659","Leptothorax","Leptothorax nigricans"
"6660","Crematogaster","Crematogaster ransonneti"
"6661","Crematogaster","Crematogaster australis"
"6662","Paratrechina","Paratrechina bruesii"
"6663","Dorymyrmex","Dorymyrmex insanus"
"6664","Plectroctena","Plectroctena gestroi"
"6665","Cerapachys","Cerapachys toltecus"
"6666","Cladomyrma","Cladomyrma yongi"
"6667","Neivamyrmex","Neivamyrmex cornutus"
