taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5033233	Camponotus traegaordhi Santschi, 1914	5033233	Camponotus traegaordhi Santschi, 1914	30	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus traegaordhi	5033233	
5033385	Camponotus novaeboracensis (Fitch, 1855)	5033385	Camponotus novaeboracensis (Fitch, 1855)	550	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus novaeboracensis	5033385	
5034534	Camponotus obliquipilosus Emery, 1920	5034534	Camponotus obliquipilosus Emery, 1920	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus obliquipilosus	5034534	
5035151	Solenopsis angulata Emery, 1894	5035151	Solenopsis angulata Emery, 1894	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Solenopsis	9107211	Solenopsis angulata	5035151	
5035661	Azteca trailii tococae Forel, 1904	5035661	Azteca trailii tococae Forel, 1904	2	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Azteca	1322845	Azteca trailii	5035660	
5035684	Azteca fasciata similis Mann, 1916	5035684	Azteca fasciata similis Mann, 1916	4	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Azteca	1322845	Azteca fasciata	5035682	
6246545	Dendromyrmex fabricii niger Weber, 1943	6246545	Dendromyrmex fabricii niger Weber, 1943	3	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Dendromyrmex	1320370	Dendromyrmex fabricii	1320374	
6246707	Tapinoma ramulorum inrectum Forel, 1908	6246707	Tapinoma ramulorum inrectum Forel, 1908	2	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tapinoma	1316784	Tapinoma ramulorum	1316848	
7373366	Tetramorium caespitum var. schmidti	7373366	Tetramorium caespitum var. schmidti	1	VARIETY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium caespitum	1323381	
7502963	Adelomyrmex robustus Fernandez, 2003	7502963	Adelomyrmex robustus Fernandez, 2003	491	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Adelomyrmex	1316772	Adelomyrmex robustus	7502963	
7588191	Polyrhachis abdominalis	7588191	Polyrhachis abdominalis	25	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Polyrhachis	1317959	Polyrhachis abdominalis	7588191	
7612537	Pheidole reclusi	7612537	Pheidole reclusi	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole reclusi	7612537	
7741356	Pheidole noar	7741356	Pheidole noar	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole noar	7741356	
7897372	Myrmelachista ambigua ramulorum	7897372	Myrmelachista ambigua ramulorum	3	SUBSPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Myrmelachista	1319000	Myrmelachista ambigua	1319047	
7906398	Tetramorium avaratra	7906398	Tetramorium avaratra	60	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium avaratra	7906398	
8252808	Pheidole nubicola Wilson, 2003	8252808	Pheidole nubicola Wilson, 2003	147	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole nubicola	8252808	
8266653	Strumigenys mola	8266653	Strumigenys mola	20	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Strumigenys	1320203	Strumigenys mola	8266653	
8426845	Colobopsis quadriceps Mayr, 1861	8426845	Colobopsis quadriceps Mayr, 1861	11	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Colobopsis	4673462	Colobopsis quadriceps	8426845	
8495765	Dolichoderus perkovskyi Dlussky, 2008	8495765	Dolichoderus perkovskyi Dlussky, 2008	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Dolichoderus	1314182	Dolichoderus perkovskyi	8495765	
8630505	Taphopone petrosa Dlussky & Perfilieva, 2014	8630505	Taphopone petrosa Dlussky & Perfilieva, 2014	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Taphopone	8474206	Taphopone petrosa	8630505	
9097649	Dorymyrmex tuberosus Cuezzo & Guerrero, 2012	9097649	Dorymyrmex tuberosus Cuezzo & Guerrero, 2012	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Dorymyrmex	1325593	Dorymyrmex tuberosus	9097649	
9362058	Myrmica taibaiensis	9362058	Myrmica taibaiensis	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Myrmica	1318775	Myrmica taibaiensis	9362058	
9845262	Camponotus liandia Rakotonirina & Fisher, 2018	9845262	Camponotus liandia Rakotonirina & Fisher, 2018	25	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus liandia	9845262	
10024496	Leptothorax liviae Cedric A.Collingwood, Donat Agosti, Mostafa R.Sharaf & Antonius van Harten, 2011	10024496	Leptothorax liviae Cedric A.Collingwood, Donat Agosti, Mostafa R.Sharaf & Antonius van Harten, 2011	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Leptothorax	1323767	Leptothorax liviae	10024496	
10210915	Tetramorium mackae	10210915	Tetramorium mackae	45	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium mackae	10210915	
10221279	Camponotus crozieri	10221279	Camponotus crozieri	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Camponotus	1312361	Camponotus crozieri	10221279	
10714836	Pheidole sava Salata & Fisher, 2020	10714836	Pheidole sava Salata & Fisher, 2020	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole sava	10714836	
10800664	Pheidole flavominuta Salata & Fisher, 2020	10800664	Pheidole flavominuta Salata & Fisher, 2020	22	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654	Pheidole flavominuta	10800664	
1314419	Monomorium Mayr, 1855	1314419	Monomorium Mayr, 1855	10	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Monomorium	1314419	Monomorium silaceum		
1315781	Calyptomyrmex tensus Bolton, 1981	1315781	Calyptomyrmex tensus Bolton, 1981	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Calyptomyrmex	1315779	Calyptomyrmex tensus	1315781	
1316639	Sericomyrmex saussurei Emery, 1894	1316639	Sericomyrmex saussurei Emery, 1894	240	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Sericomyrmex	1316616	Sericomyrmex saussurei	1316639	
1318305	Polyrhachis montana Hung, 1970	1318305	Polyrhachis montana Hung, 1970	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Polyrhachis	1317959	Polyrhachis montana	1318305	
1319554	Anochetus princeps Emery, 1884	1319554	Anochetus princeps Emery, 1884	21	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Anochetus	1319461	Anochetus princeps	1319554	
1319568	Cataglyphis emmae (Forel, 1909)	1319568	Cataglyphis emmae (Forel, 1909)	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Cataglyphis	1319559	Cataglyphis emmae	1319568	
1319859	Pachycondyla luteipes (Mayr, 1862)	1319859	Pachycondyla luteipes (Mayr, 1862)	13	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pachycondyla	1319685	Pachycondyla luteipes	1319859	
1319873	Pachycondyla apicalis (Latreille, 1802)	1319873	Pachycondyla apicalis (Latreille, 1802)	689	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pachycondyla	1319685	Pachycondyla apicalis	1319873	
1320090	Technomyrmex butteli Forel, 1913	1320090	Technomyrmex butteli Forel, 1913	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Technomyrmex	1320039	Technomyrmex butteli	1320090	
1320113	Technomyrmex moerens Santschi, 1913	1320113	Technomyrmex moerens Santschi, 1913	112	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Technomyrmex	1320039	Technomyrmex moerens	1320113	
1320665	Acromyrmex striatus (Roger, 1863)	1320665	Acromyrmex striatus (Roger, 1863)	45	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Acromyrmex	1320640	Acromyrmex striatus	1320665	
1321026	Pyramica nigrescens (Wheeler, 1911)	1321026	Pyramica nigrescens (Wheeler, 1911)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pyramica	1321015	Pyramica nigrescens	1321026	
1321654	Pheidole Westwood, 1839	1321654	Pheidole Westwood, 1839	63778	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pheidole	1321654			
1323348	Tetramorium incruentatum Arnold, 1926	1323348	Tetramorium incruentatum Arnold, 1926	23	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium incruentatum	1323348	
1323375	Tetramorium imbelle (Emery, 1915)	1323375	Tetramorium imbelle (Emery, 1915)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium imbelle	1323375	
1323403	Tetramorium centum Bolton, 1977	1323403	Tetramorium centum Bolton, 1977	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium centum	1323403	
1323536	Tetramorium mutatum Bolton, 1985	1323536	Tetramorium mutatum Bolton, 1985	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium mutatum	1323536	
1324416	Crematogaster butteli Forel, 1913	1324416	Crematogaster butteli Forel, 1913	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Crematogaster	1324306	Crematogaster butteli	1324416	
1324902	Crematogaster lutzi Forel, 1905	1324902	Crematogaster lutzi Forel, 1905	16	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Crematogaster	1324306	Crematogaster lutzi	1324902	
1325288	Cataulacus bequaerti Forel, 1913	1325288	Cataulacus bequaerti Forel, 1913	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Cataulacus	1325265	Cataulacus bequaerti	1325288	
